Distance,LG,LL,LLG,LLL,Ia,Ib,Ic,Va,Vb,Vc
75,0,1,0,0,723.43,1018.4,905.49,36365,34814,35453
50,1,0,0,0,220.73,67.986,65.671,6827.5,7624.9,7771.8
75,0,0,1,0,728.98,1017.6,976.33,36329,34785,35022
65,0,0,1,0,725.83,770.56,774.57,36351,36143,36130
15,1,0,0,0,2755.9,701.64,716.96,25578,36492,36385
55,0,1,0,0,723.38,786.91,865.58,36364,36189,35634
90,0,1,0,0,67.549,76.65,74.373,7707,7610.2,7648
85,1,0,0,0,842.03,722.05,734.94,35722,36365,36307
40,0,1,0,0,67.55,305.42,272.5,7707.4,5312.8,7372
80,1,0,0,0,155.8,62.216,72.869,7302.3,7723.3,7677.3
75,0,0,1,0,728.88,1019.5,975.22,36330,34775,35031
35,1,0,0,0,1161.9,718.95,729.95,34412,36389,36325
10,0,0,1,0,65.066,132.3,136.52,7758.6,7057,6986.6
90,0,0,0,1,177.19,177.19,177.19,7210.9,7210.9,7210.9
70,0,0,1,0,67.933,92.026,93.494,7707.9,7456.5,7426.2
10,0,1,0,0,67.554,97.675,115.25,7706.9,7459.7,7207.8
45,1,0,0,0,898.76,723.01,727.01,35605,36362,36349
85,0,1,0,0,723.38,746.65,751.76,36365,36256,36210
40,0,0,1,0,66.339,128.07,138.12,7733.5,7086.2,6937.1
75,1,0,0,0,908.2,721.38,734.77,35379,36372,36303
75,0,1,0,0,723.43,905.96,896.2,36365,35494,35422
80,0,0,1,0,68.336,86.403,86.554,7702.2,7516.5,7505.7
40,0,0,1,0,65.604,230.03,260.48,7722.2,6104.9,5901.4
30,1,0,0,0,314.9,70.965,60.999,6008.8,7553.6,7860.9
55,1,0,0,0,1099,719.09,733.72,34402,36381,36311
90,0,1,0,0,67.549,125.56,106.91,7707,7111.2,7524
35,0,1,0,0,723.42,989.04,1176.1,36365,35827,34045
80,0,0,0,1,195.44,195.44,195.44,7046.2,7046.2,7046.2
90,1,0,0,0,84.899,67.369,69.471,7536,7706.8,7691.9
25,0,0,0,1,2433.4,2433.4,2433.4,27292,27291,27290
25,0,1,0,0,723.39,743.12,875.43,36365,36492,35650
15,0,0,1,0,699.89,3107.9,3128.9,36483,23945,23835
80,0,0,0,1,151.59,151.59,151.59,6956,6956,6956
10,0,0,0,1,481.85,481.85,481.85,3385.9,3386,3385.9
65,0,0,1,0,726.51,786.24,793.09,36347,36070,36041
45,0,0,1,0,725.43,1262.9,1361.6,36349,33772,33036
35,0,1,0,0,723.42,745.17,846.45,36365,36411,35772
60,0,1,0,0,67.551,183.32,168.95,7707.1,6494.3,7087.9
25,0,1,0,0,723.39,765.12,928.24,36365,36495,35399
25,1,0,0,0,1993.5,707.95,725.19,29617,36450,36346
60,1,0,0,0,141.35,66.876,68.011,6957.2,7690.4,7734.4
15,0,1,0,0,723.37,839.43,1102.7,36364,36666,34629
75,0,0,1,0,730.88,925.87,941.58,36322,35319,35187
65,1,0,0,0,771.8,724.42,724.85,36140,36357,36362
20,0,0,1,0,62.631,362.49,410.78,7759.8,4781.3,4482.9
30,1,0,0,0,196.83,67.031,65.071,6330.7,7675.9,7795.3
50,0,0,0,1,106.09,106.09,106.09,7300.3,7300.1,7300.2
90,0,0,1,0,69.784,168.58,159.11,7685.4,7064.7,7468.7
70,0,1,0,0,67.55,86.657,88.248,7707,7503.9,7509.8
25,0,0,1,0,717.47,1718,1929,36390,32055,30416
25,0,1,0,0,723.39,1594.8,1770.1,36365,33945,30804
85,0,0,1,0,732.04,858.31,857.54,36315,35647,35632
80,0,0,0,1,95.521,95.521,95.521,7421.3,7421.2,7421.3
80,0,0,0,1,173.25,173.25,173.25,6891.4,6891.3,6891.4
55,0,0,0,1,1283.1,1283.1,1283.1,33403,33404,33399
85,0,0,1,0,727.66,769.47,771.12,36342,36130,36115
30,0,0,0,1,106.87,106.87,106.87,7295.7,7295.6,7295.6
85,0,0,1,0,732.04,891.04,877.99,36313,35461,35517
75,0,1,0,0,723.43,1015.9,907.22,36365,34830,35439
40,0,1,0,0,67.55,268.8,250.02,7707.4,5601.6,6815.9
85,0,1,0,0,723.38,740.77,745.33,36365,36283,36246
35,1,0,0,0,1536.3,712.47,731.51,32085,36426,36311
55,0,0,0,1,859,859,859,35761,35762,35760
20,1,0,0,0,403.16,72.695,57.189,5206.7,7503.9,7942.7
35,1,0,0,0,1438.5,714.47,731.85,32745,36414,36312
60,0,1,0,0,67.551,102.45,105.88,7707.1,7349.3,7342.8
10,0,0,0,1,117.02,117.02,117.02,7206.5,7206.5,7206.5
10,0,0,1,0,58.797,558.8,604.67,7815.2,3046.8,3254.9
10,0,1,0,0,67.554,202.68,223.83,7706.9,6738.1,6114.7
70,1,0,0,0,171.74,64.535,69.737,7200.6,7686.5,7713.6
75,0,1,0,0,723.43,743.45,759.74,36365,36283,36173
40,1,0,0,0,176.22,67.128,66.017,6567.2,7677.7,7774
20,1,0,0,0,357.84,70.011,59.147,4974.3,7569.2,7922.2
40,0,0,1,0,65.8,168.35,190.66,7736,6683.1,6387.6
90,0,1,0,0,67.549,79.503,76.438,7707,7580.2,7631.8
55,1,0,0,0,787.06,724.09,724.97,36084,36359,36357
35,0,0,0,1,1786.6,1786.6,1786.6,30852,30850,30853
15,1,0,0,0,1062.9,716.91,729.07,35322,36396,36333
85,0,0,0,1,924.24,924.25,924.25,35282,35280,35281
65,1,0,0,0,1036.6,714.77,737.41,34680,36402,36294
65,0,0,0,1,790.89,790.87,790.88,36051,36052,36050
45,1,0,0,0,835.79,723.41,725.8,35892,36361,36355
45,1,0,0,0,1333.6,713.1,733.12,33108,36412,36313
20,0,1,0,0,67.553,357.48,351.3,7706.9,4849,5848.3
35,0,1,0,0,723.42,1750.7,1641.1,36365,31356,32119
10,0,0,1,0,58.888,566.58,611.29,7812,3025,3327.9
45,0,1,0,0,723.35,930.2,1064.4,36366,35792,34588
55,0,0,0,1,787.55,787.54,787.55,36085,36085,36084
45,0,0,1,0,722.75,1505.5,1474.2,36363,32222,32459
60,0,0,1,0,67.53,97.838,100.73,7714,7395,7344.3
55,0,0,1,0,725.62,784.29,790.15,36352,36100,36069
70,0,1,0,0,67.55,120.97,117.25,7707,7149.2,7294.2
90,0,0,0,1,87.079,87.078,87.079,7515.6,7515.6,7515.6
50,0,0,0,1,165.35,165.35,165.35,6688.9,6688.8,6688.9
35,0,0,1,0,718.9,1808.7,1785.6,36384,30653,30844
30,0,1,0,0,67.552,259.57,256.25,7707,5808,6281.5
85,0,0,0,1,810.51,810.51,810.51,35907,35906,35907
75,0,0,0,1,1031.2,1031.3,1031.3,34715,34711,34719
40,0,0,0,1,133.56,133.56,133.56,7015.2,7014.8,7015
30,0,0,1,0,64.444,261.8,300.91,7740.5,5760.9,5396.4
90,0,0,1,0,71.021,124.9,123.29,7674.9,7201.8,7269.4
75,0,1,0,0,723.43,767.17,790.93,36365,36182,36005
15,0,1,0,0,723.37,2463.2,2596.9,36364,31151,26488
50,0,0,1,0,66.364,232.89,249.5,7702.6,6204.6,6395.9
40,0,0,1,0,65.744,265.7,290.47,7709.4,5854.3,5985.5
75,0,0,1,0,727.81,790.77,797.64,36342,36040,35989
80,0,1,0,0,67.55,143.81,126.77,7707,6911.6,7382.9
40,0,0,1,0,66.664,110.35,115.63,7728.4,7265,7180.7
80,0,0,1,0,68.214,162.38,164.55,7694.8,6910.9,7080.9
15,0,0,0,1,919.86,919.86,919.86,35803,35802,35804
80,0,0,1,0,68.178,82.103,82.041,7703.2,7559.2,7552.7
55,0,0,1,0,725.31,1297.1,1256.1,36348,33309,33589
85,0,0,0,1,902.18,902.19,902.18,35392,35391,35392
50,0,0,0,1,284.26,284.26,284.26,6359.4,6359.3,6359.4
20,0,0,0,1,126.59,126.59,126.59,7102,7102,7102
20,0,1,0,0,67.553,292.38,296.08,7706.9,5647.7,5805.5
30,0,0,1,0,65.285,359.62,377.27,7699.7,5257.6,5962.8
15,0,0,0,1,3337.6,3337.6,3337.6,22498,22498,22499
70,0,1,0,0,67.55,211.84,172.3,7707,6370.9,7768
15,1,0,0,0,1461,710.93,732.03,33792,36427,36315
75,1,0,0,0,842.79,724.45,729.6,35753,36358,36331
40,1,0,0,0,246.07,68.604,64.099,6263.8,7614.8,7810.9
50,0,0,1,0,66.932,118.79,126.9,7723.5,7181.7,7060.3
20,0,0,1,0,63.527,439.99,472.89,7725.1,4416.9,5044.9
15,0,0,1,0,722.29,1040.6,1072.8,36365,35419,35333
25,1,0,0,0,895.12,720.92,726.67,35763,36375,36347
55,0,1,0,0,723.38,758.27,820.83,36364,36281,35870
80,0,1,0,0,67.55,192.62,151.97,7707,6581.1,7830.7
60,0,0,0,1,113.8,113.8,113.8,7221.8,7221.7,7221.7
20,0,1,0,0,67.553,106.45,122.43,7706.9,7375.1,7138.9
45,0,1,0,0,723.35,1468,1356,36366,32652,33379
25,0,0,0,1,1900,1900,1900,30984,30984,30983
80,1,0,0,0,111.55,66.664,70.085,7274.5,7705.5,7697.1
60,0,1,0,0,67.551,210.37,185.97,7707.1,6228.8,7249.7
55,0,1,0,0,723.38,746.07,797.1,36364,36316,35993
15,0,0,1,0,709.93,2111.4,2397.7,36426,30951,28856
80,0,1,0,0,67.55,109.39,103.22,7707,7265.8,7425
85,1,0,0,0,746.92,724.34,724.85,36244,36359,36358
25,0,0,0,1,839.43,839.43,839.43,35976,35976,35976
40,1,0,0,0,226.75,67.927,64.719,6229,7637.8,7803.8
50,0,0,1,0,66.364,203.74,226.56,7712,6387.6,6285.1
25,1,0,0,0,1003,719.53,727.99,35351,36382,36340
20,0,0,1,0,63.477,207.84,233.67,7779.2,6286.5,5909.1
60,0,0,0,1,99.52,99.52,99.52,7369.9,7369.9,7369.9
55,0,1,0,0,723.38,1073,1112,36364,34890,34279
45,1,0,0,0,1334,713,733.07,33107,36412,36313
20,0,0,0,1,223.08,223.08,223.08,6100.9,6100.9,6100.9
80,1,0,0,0,136.44,65.087,71.755,7126.2,7710.1,7687.9
65,0,1,0,0,723.34,754.94,793.66,36365,36254,36005
25,0,0,0,1,1311.5,1311.5,1311.5,34177,34177,34177
50,0,0,0,1,258.06,258.06,258.06,6088.7,6088.6,6088.7
25,0,0,1,0,714.83,2016.4,2171.4,36404,30154,28727
35,0,0,0,1,1911.1,1911.1,1911.1,30053,30051,30053
25,0,1,0,0,723.39,2190.1,2085,36365,29425,30208
20,0,0,0,1,407.37,407.37,407.37,4321.8,4321.9,4321.8
20,0,0,0,1,487.69,487.69,487.69,4358.9,4358.9,4358.9
20,0,1,0,0,67.553,128.97,146.11,7706.9,7202.6,6900.9
80,1,0,0,0,81.672,67.466,68.284,7558.9,7705.5,7704.6
30,0,0,0,1,295.25,295.25,295.25,5384.8,5384.6,5384.8
65,1,0,0,0,1036.6,714.6,737.44,34680,36403,36293
85,0,0,1,0,730.8,922.65,880.35,36318,35281,35522
35,0,0,1,0,724.96,853.88,869.99,36355,35873,35798
50,0,1,0,0,67.551,236.86,214.65,7707,5940.6,7072.2
80,0,1,0,0,67.55,166.34,140.12,7707,6705.9,7481
90,0,0,0,1,101.86,101.86,101.86,7382.5,7382.5,7382.5
40,0,1,0,0,67.55,98.532,108.03,7707.4,7407.2,7298.3
65,1,0,0,0,898.13,723.86,729.77,35490,36356,36337
60,0,1,0,0,67.551,84.465,88.366,7707.1,7528.3,7501.4
30,1,0,0,0,144.2,66.834,66.336,6882.5,7698.5,7757.6
10,1,0,0,0,542.06,73.471,51.95,3557.6,7470.8,8079.6
30,0,0,0,1,119.69,119.69,119.69,7164.2,7164.1,7164.2
75,0,1,0,0,723.43,751.14,770.75,36365,36251,36114
40,0,0,0,1,297.19,297.19,297.19,5665,5664.6,5665
75,1,0,0,0,932.01,718.58,737.33,35238,36387,36288
50,0,0,1,0,67.215,95.61,98.118,7718.3,7415.5,7370.2
40,0,1,0,0,67.55,115.63,125.17,7707.4,7251.7,7136.2
30,0,1,0,0,67.552,102.54,115.14,7707,7386.4,7219.9
45,0,1,0,0,723.35,1197.5,1270,36366,34533,33443
35,0,0,1,0,725.2,926.02,963.66,36354,35589,35406
40,0,1,0,0,67.55,303.75,271.67,7707.4,5317.5,7331.3
90,0,0,0,1,81.166,81.166,81.166,7572.1,7572.1,7572.1
85,0,0,1,0,730.03,803.33,806.72,36328,35950,35920
55,0,0,1,0,726.2,805.46,815.93,36349,36006,35951
70,0,0,0,1,219.52,219.52,219.52,6891.1,6891.1,6891.1
65,0,1,0,0,723.34,1056.4,1020,36365,34748,34799
65,1,0,0,0,821.07,724.67,726.61,35898,36354,36353
35,1,0,0,0,947.73,721.53,727.38,35461,36375,36341
20,0,1,0,0,67.553,95.226,109.63,7706.9,7460.8,7269.6
20,0,0,1,0,63.455,435.63,470.06,7727.4,4417.1,4982.1
60,1,0,0,0,192.55,66.398,67.595,7028,7655.7,7742.6
85,0,0,1,0,730.67,924.02,879.36,36318,35274,35530
35,0,0,0,1,1914.2,1914.2,1914.2,30042,30039,30042
70,0,0,1,0,68.028,125.06,133.01,7706.1,7136.8,7038.3
55,0,0,0,1,1341,1341,1341,33077,33078,33072
40,1,0,0,0,113.35,67.101,67.101,7211.6,7702.7,7734.2
50,1,0,0,0,106.13,67.215,67.445,7290.3,7702.4,7726.4
20,1,0,0,0,401.01,72.53,57.279,5176.3,7507.7,7942.3
70,1,0,0,0,165.54,65.132,69.865,7008.2,7688.6,7716.7
70,1,0,0,0,102.87,67.2,68.435,7336.3,7702.5,7712.7
50,0,0,0,1,227.25,227.25,227.25,6170,6169.8,6169.9
45,0,0,0,1,803.27,803.27,803.27,36040,36039,36040
15,0,0,1,0,723.28,860.18,863.8,36362,35953,35958
65,0,0,0,1,1166.1,1166.1,1166.1,34004,34007,33994
20,0,1,0,0,67.553,430.36,409.61,7706.9,3918.6,6508.2
65,0,0,1,0,727.33,1137.5,1098.2,36337,34141,34401
85,0,0,0,1,870.48,870.49,870.48,35572,35571,35571
90,0,1,0,0,67.549,174.61,134.15,7707,6758.9,7850.6
10,1,0,0,0,118.76,66.559,66.651,7164.2,7712.3,7742.9
30,0,0,1,0,64.682,307.31,343.07,7724.2,5397.3,5384.1
35,0,0,0,1,820.6,820.6,820.6,36002,36002,36000
40,0,0,1,0,66.072,303.76,310.91,7692.4,5818,6508.1
10,0,1,0,0,67.554,533.65,524.12,7706.9,3184.5,5547.5
45,0,1,0,0,723.35,1344.4,1343,36366,33613,33136
90,1,0,0,0,79.732,67.479,68.86,7585.3,7706.4,7696.7
65,0,0,0,1,1057.5,1057.5,1057.5,34627,34630,34619
60,0,1,0,0,67.551,234.5,197.28,7707.1,6104.9,7650.3
50,0,0,0,1,96.785,96.784,96.784,7397.5,7397.4,7397.5
55,0,0,1,0,728.23,949.6,1003.9,36336,35323,34994
45,0,0,1,0,726.72,1023.7,1102.9,36344,35052,34585
85,1,0,0,0,867.54,714.25,741.81,35575,36404,36267
75,0,0,0,1,1000.2,1000.2,1000.2,34877,34873,34880
75,0,0,1,0,730.35,973.87,972.06,36323,35042,35016
40,0,0,1,0,66.859,100.48,103.65,7724.7,7364.9,7310.3
60,0,0,0,1,148.17,148.17,148.17,6875.9,6875.9,6875.9
85,1,0,0,0,767.59,724.74,726.44,36136,36355,36350
35,0,0,1,0,718.8,1815.4,1784,36385,30607,30873
80,0,0,0,1,116.44,116.44,116.44,7221.5,7221.5,7221.5
60,1,0,0,0,99.142,67.292,67.803,7367.7,7703,7718.7
15,1,0,0,0,2750.4,701.3,717.57,25603,36494,36381
90,0,0,1,0,69.661,170.31,160.14,7686.5,7070.2,7494.6
90,1,0,0,0,130.77,63.307,76.169,7269.9,7739.3,7634.8
35,0,0,0,1,1183.1,1183.1,1183.1,34462,34462,34462
90,0,0,1,0,70.15,100.41,99.109,7683.4,7395.2,7411.7
25,0,0,0,1,2214.8,2214.8,2214.8,28805,28805,28804
75,1,0,0,0,941.76,714.87,739.31,35183,36406,36275
20,1,0,0,0,113.4,66.823,66.802,7213.6,7708.5,7738.2
10,0,0,1,0,61.784,233.22,253.02,7815.9,6059.9,5756.7
90,0,0,0,1,128.88,128.88,128.87,7187.1,7187,7187.1
90,0,0,0,1,175.51,175.51,175.51,7193.3,7193.3,7193.3
75,0,0,1,0,726.62,769.74,773.31,36348,36144,36114
65,0,1,0,0,723.34,745.19,776.91,36365,36289,36093
65,1,0,0,0,991.7,720.42,734.38,34948,36372,36312
80,0,0,0,1,87.021,87.02,87.02,7506.6,7506.6,7506.6
85,0,0,0,1,772.89,772.89,772.89,36109,36109,36109
65,0,0,1,0,727.24,1140,1096.9,36337,34127,34413
50,0,0,0,1,123.51,123.51,123.51,7118.5,7118.3,7118.4
35,0,1,0,0,723.42,1364.7,1480.9,36365,34178,32326
55,1,0,0,0,810.55,724.14,725.57,35976,36358,36354
55,0,1,0,0,723.38,1271.6,1158.5,36364,33579,34272
60,1,0,0,0,91.744,67.357,67.751,7445.6,7704.3,7715.9
70,0,0,1,0,67.635,161.17,171.93,7701.6,6833.5,6824.5
75,1,0,0,0,791.6,724.9,726.48,36026,36357,36347
15,0,0,0,1,3325.9,3325.9,3325.9,22555,22554,22555
10,0,1,0,0,67.554,327.83,340.89,7706.9,5673.9,5186.2
45,0,1,0,0,723.35,761.16,852.32,36366,36324,35725
45,0,0,0,1,1494.3,1494.3,1494.3,32319,32320,32315
60,0,0,1,0,66.966,181.2,197.63,7706.2,6625.9,6582.2
40,0,0,0,1,183.58,183.58,183.58,6492.6,6492.2,6492.4
15,0,1,0,0,723.37,1918.7,2177.5,36364,34181,28752
90,0,0,1,0,69.209,86.572,85.488,7692.1,7521.5,7529.7
25,0,0,1,0,712.33,2289.5,2269,36418,28133,28378
90,1,0,0,0,144.39,59.741,78.523,7381.9,7769.4,7613.1
45,0,0,1,0,725.66,827.85,841.73,36352,35935,35872
80,0,0,1,0,67.276,185.66,177.55,7697.6,6909,7373.6
60,0,0,0,1,199.78,199.78,199.78,6466.1,6466,6466
20,1,0,0,0,155.56,66.509,65.933,6768,7702.5,7768.2
80,1,0,0,0,156.02,62.121,72.866,7317.4,7723.8,7677.1
25,1,0,0,0,1296.7,715.68,730.46,34022,36402,36325
30,0,0,0,1,396.68,396.68,396.68,5319.5,5319.4,5319.5
25,0,0,1,0,712.44,2279,2270.4,36417,28213,28333
55,0,0,0,1,1190.6,1190.6,1190.6,33975,33976,33971
